 ,Area,Mean,StdDev,Mode,Min,Max,Row,Column,Absorbance
1,12640000,41306.938,247.723,41516,40046,41752,A,1,41306.938
2,12640000,40113.563,289.325,40312,38614,40538,A,2,40113.563
3,12640000,41539.841,217.558,41551,40581,41980,A,3,41539.841
4,12640000,44407.820,223.570,44590,43136,45997,A,4,44407.820
5,12640000,44167.398,320.300,44302,42364,44684,A,5,44167.398
6,12640000,46545.761,155.291,46618,45946,46796,A,6,46545.761
7,12640000,44111.305,231.325,44118,42648,44510,A,7,44111.305
8,12640000,44135.803,235.964,44254,42690,44454,A,8,44135.803
9,12640000,44152.577,245.306,44195,42660,44515,A,9,44152.577
10,12640000,44243.143,226.984,44357,43014,44730,A,10,44243.143
11,12640000,44323.777,271.968,44465,42879,45230,A,11,44323.777
12,12640000,44455.387,265.526,44659,43047,44901,A,12,44455.387
13,12640000,42597.845,279.434,42708,41462,43056,B,1,42597.845
14,12640000,42026.263,235.740,42165,40859,43181,B,2,42026.263
15,12640000,42097.093,229.608,42217,40844,42604,B,3,42097.093
16,12640000,44358.530,237.328,44405,43077,44912,B,4,44358.530
17,12640000,44126.055,338.143,44346,42430,44573,B,5,44126.055
18,12640000,46262.991,273.826,46376,44373,46638,B,6,46262.991
19,12640000,44126.124,307.870,44177,42156,44753,B,7,44126.124
20,12640000,44191.957,325.040,44202,42086,44623,B,8,44191.957
21,12640000,44189.782,360.744,44375,41849,44635,B,9,44189.782
22,12640000,44295.933,316.199,44518,42250,44659,B,10,44295.933
23,12640000,44415.862,304.202,44551,42228,44838,B,11,44415.862
24,12640000,44496.108,289.203,44489,42904,45039,B,12,44496.108
25,12640000,42852.254,298.543,43152,41397,43409,C,1,42852.254
26,12640000,42682.744,262.561,42867,42017,43694,C,2,42682.744
27,12640000,42703.128,181.951,42705,41944,43544,C,3,42703.128
28,12640000,44535.659,186.148,44727,44062,44890,C,4,44535.659
29,12640000,44476.389,158.884,44481,43725,44770,C,5,44476.389
30,12640000,46530.330,183.149,46643,45958,46833,C,6,46530.330
31,12640000,44505.458,226.705,44453,43472,45039,C,7,44505.458
32,12640000,44538.755,205.454,44456,43643,45120,C,8,44538.755
33,12640000,44638.801,208.648,44673,43750,45030,C,9,44638.801
34,12640000,44480.422,370.798,44762,42836,45064,C,10,44480.422
35,12640000,44724.039,280.203,44631,43632,45317,C,11,44724.039
36,12640000,44666.623,265.707,44678,43660,46073,C,12,44666.623
37,12640000,31669.824,288.378,31483,30879,33485,D,1,31669.824
38,12640000,31380.359,727.933,31048,30343,37759,D,2,31380.359
39,12640000,31100.938,559.865,30762,30386,33608,D,3,31100.938
40,12640000,30812.431,467.221,30570,29998,33239,D,4,30812.431
41,12640000,30655.710,765.836,30224,29661,34320,D,5,30655.710
42,12640000,30879.079,785.204,30359,29898,33919,D,6,30879.079
43,12640000,30438.462,691.838,30151,29609,33022,D,7,30438.462
44,12640000,30137.267,744.808,29770,29112,33250,D,8,30137.267
45,12640000,29948.703,696.009,29553,29003,32776,D,9,29948.703
46,12640000,30324.466,962.423,29950,29411,34660,D,10,30324.466
47,12640000,30438.803,669.550,30136,29671,33283,D,11,30438.803
48,12640000,30887.004,962.239,30413,29948,35025,D,12,30887.004
49,12640000,31662.028,205.059,31570,31033,32392,E,1,31662.028
50,12640000,31235.243,639.020,30885,30456,34026,E,2,31235.243
51,12640000,31019.987,595.328,30539,30273,33682,E,3,31019.987
52,12640000,31082.289,707.795,30510,30145,34208,E,4,31082.289
53,12640000,30506.184,701.691,30228,29639,33355,E,5,30506.184
54,12640000,30787.408,598.809,30395,30081,33086,E,6,30787.408
55,12640000,30696.559,646.349,30278,29826,33362,E,7,30696.559
56,12640000,30069.102,635.984,29695,29335,32923,E,8,30069.102
57,12640000,30072.254,617.127,29774,29325,32858,E,9,30072.254
58,12640000,30299.505,676.958,29974,29543,32902,E,10,30299.505
59,12640000,30584.028,461.381,30389,29960,33116,E,11,30584.028
60,12640000,30917.834,663.279,30640,30195,33453,E,12,30917.834
61,12640000,31875.627,189.337,31821,31342,32663,F,1,31875.627
62,12640000,31545.495,199.381,31517,31026,32312,F,2,31545.495
63,12640000,31450.804,146.501,31495,30997,31968,F,3,31450.804
64,12640000,31576.278,739.815,31186,30607,34879,F,4,31576.278
65,12640000,30778.324,621.848,30408,29963,33480,F,5,30778.324
66,12640000,30779.130,687.147,30476,30036,33667,F,6,30779.130
67,12640000,30601.009,590.500,30332,29911,33343,F,7,30601.009
68,12640000,30441.877,584.207,30222,29778,33107,F,8,30441.877
69,12640000,30430.229,606.952,30137,29747,32982,F,9,30430.229
70,12640000,30605.899,572.952,30276,29924,33193,F,10,30605.899
71,12640000,30937.496,558.378,30796,30172,33425,F,11,30937.496
72,12640000,31113.917,620.441,30777,30462,33650,F,12,31113.917
73,12640000,31833.186,270.947,31584,31325,32697,G,1,31833.186
74,12640000,31548.722,195.372,31732,31037,32237,G,2,31548.722
75,12640000,31305.858,125.295,31291,30873,31752,G,3,31305.858
76,12640000,43468.250,253.654,43518,42703,44067,G,4,43468.250
77,12640000,43632.475,196.798,43661,42896,44078,G,5,43632.475
78,12640000,43626.863,183.021,43592,42898,43991,G,6,43626.863
79,12640000,42671.003,215.298,42713,41780,43104,G,7,42671.003
80,12640000,42640.246,228.883,42763,41313,42968,G,8,42640.246
81,12640000,42762.117,243.544,42665,41735,43285,G,9,42762.117
82,12640000,30843.386,147.316,30818,30288,31501,G,10,30843.386
83,12640000,31022.181,206.151,30929,30377,32823,G,11,31022.181
84,12640000,31452.426,202.312,31364,30963,32127,G,12,31452.426
85,12640000,32923.665,350.665,32638,32224,34259,H,1,32923.665
86,12640000,31990.252,247.638,32035,31258,32628,H,2,31990.252
87,12640000,32074.035,134.325,31983,31627,32745,H,3,32074.035
88,12640000,31852.475,222.623,31677,31347,33304,H,4,31852.475
89,12640000,31907.828,264.054,31744,31112,32591,H,5,31907.828
90,12640000,31629.578,219.132,31665,31115,32471,H,6,31629.578
91,12640000,31451.780,160.444,31354,31053,31972,H,7,31451.780
92,12640000,31067.850,210.721,31181,30629,33689,H,8,31067.850
93,12640000,31105.499,181.345,30950,30578,31726,H,9,31105.499
94,12640000,31570.601,116.440,31588,31204,32057,H,10,31570.601
95,12640000,31288.437,122.299,31262,30842,31898,H,11,31288.437
96,12640000,31572.541,368.042,31597,31104,40396,H,12,31572.541
