 ,Area,Mean,StdDev,Mode,Min,Max,Row,Column,Absorbance
1,12640000,39870.353,232.176,39963,38719,40237,A,1,39870.353
2,12640000,37935.906,294.667,38113,36116,38391,A,2,37935.906
3,12640000,38862.202,141.030,38809,38023,39164,A,3,38862.202
4,12640000,41253.657,150.607,41287,40288,41674,A,4,41253.657
5,12640000,40731.748,295.310,40895,38765,41110,A,5,40731.748
6,12640000,42796.844,94.188,42807,42520,43117,A,6,42796.844
7,12640000,40058.933,327.663,40133,37505,40420,A,7,40058.933
8,12640000,39898.456,334.333,39965,37190,41219,A,8,39898.456
9,12640000,39773.834,355.537,39814,36886,40297,A,9,39773.834
10,12640000,39725.850,308.474,39744,37560,40073,A,10,39725.850
11,12640000,39770.210,433.669,39818,37082,40975,A,11,39770.210
12,12640000,39804.684,460.939,39952,36819,40486,A,12,39804.684
13,12640000,40914.083,389.975,40984,38525,41414,B,1,40914.083
14,12640000,39664.257,240.669,39815,38512,40928,B,2,39664.257
15,12640000,39437.633,188.238,39517,38365,39928,B,3,39437.633
16,12640000,41241.413,338.849,41412,39121,41684,B,4,41241.413
17,12640000,40799.650,385.760,41014,38980,41187,B,5,40799.650
18,12640000,42729.386,318.870,42865,40766,43327,B,6,42729.386
19,12640000,40217.336,294.938,40283,38781,40756,B,7,40217.336
20,12640000,40048.188,171.767,40062,39320,40430,B,8,40048.188
21,12640000,39861.638,366.661,39963,37694,40278,B,9,39861.638
22,12640000,39848.680,379.646,39976,37924,40601,B,10,39848.680
23,12640000,39877.138,372.306,40021,37977,41283,B,11,39877.138
24,12640000,39875.306,436.689,40066,37441,40377,B,12,39875.306
25,12640000,41196.831,405.225,41313,39330,41660,C,1,41196.831
26,12640000,40255.766,129.762,40280,39856,40722,C,2,40255.766
27,12640000,39904.686,119.995,39900,39559,40472,C,3,39904.686
28,12640000,41392.636,233.002,41255,41036,45307,C,4,41392.636
29,12640000,41037.354,160.135,41066,40625,43571,C,5,41037.354
30,12640000,42924.864,136.674,42869,42519,43410,C,6,42924.864
31,12640000,40526.388,162.209,40587,40011,40895,C,7,40526.388
32,12640000,40289.762,169.368,40459,39768,40696,C,8,40289.762
33,12640000,40222.054,168.946,40173,39621,40594,C,9,40222.054
34,12640000,39957.859,446.607,40148,37671,40640,C,10,39957.859
35,12640000,40086.081,140.817,40049,39621,40449,C,11,40086.081
36,12640000,39942.299,379.020,40153,38153,40393,C,12,39942.299
37,12640000,30600.085,133.440,30560,30170,31019,D,1,30600.085
38,12640000,29746.373,700.704,29313,28797,32598,D,2,29746.373
39,12640000,29497.583,679.423,29036,28620,32490,D,3,29497.583
40,12640000,29342.505,557.436,28904,28326,31488,D,4,29342.505
41,12640000,29174.593,745.043,28649,28147,32813,D,5,29174.593
42,12640000,29235.961,765.997,28873,28248,32419,D,6,29235.961
43,12640000,29061.608,687.814,28707,28095,31686,D,7,29061.608
44,12640000,28802.400,697.141,28452,27860,31620,D,8,28802.400
45,12640000,28790.538,674.483,28313,27989,31333,D,9,28790.538
46,12640000,29039.517,824.823,28369,28058,32440,D,10,29039.517
47,12640000,29002.896,645.866,28667,28126,31588,D,11,29002.896
48,12640000,29512.259,862.106,28995,28471,33009,D,12,29512.259
49,12640000,30700.860,126.449,30601,30300,31177,E,1,30700.860
50,12640000,29804.420,625.435,29356,28940,32523,E,2,29804.420
51,12640000,29604.112,632.377,29171,28721,32450,E,3,29604.112
52,12640000,29591.674,702.683,29025,28550,32561,E,4,29591.674
53,12640000,29181.877,704.484,28750,28302,32201,E,5,29181.877
54,12640000,29263.355,650.406,28822,28442,32003,E,6,29263.355
55,12640000,29287.918,686.772,28836,28329,31999,E,7,29287.918
56,12640000,28876.972,654.232,28497,28016,32098,E,8,28876.972
57,12640000,28986.814,655.429,28357,28106,32096,E,9,28986.814
