 ,Area,Mean,StdDev,Mode,Min,Max,Row,Column,Absorbance
1,12640000,40194.792,226.474,40029,38968,40653,A,1,40194.792
2,12640000,40110.468,194.957,40139,38668,40415,A,2,40110.468
3,12640000,42121.914,127.719,42123,41739,42676,A,3,42121.914
4,12640000,39809.550,260.125,39756,37815,40376,A,4,39809.550
5,12640000,39418.427,298.418,39576,37231,40151,A,5,39418.427
6,12640000,39258.903,270.384,39248,37363,39765,A,6,39258.903
7,12640000,39160.792,314.663,39277,37397,41402,A,7,39160.792
8,12640000,39078.641,201.061,39047,37447,39409,A,8,39078.641
9,12640000,39058.017,156.821,39089,38087,40395,A,9,39058.017
10,12640000,38957.565,87.329,38952,38665,39376,A,10,38957.565
11,12640000,38847.454,110.060,38835,38504,39881,A,11,38847.454
12,12640000,38765.085,171.852,38713,38384,42692,A,12,38765.085
13,12640000,40224.029,192.127,40295,38929,40804,B,1,40224.029
14,12640000,40304.261,277.821,40336,38679,42307,B,2,40304.261
15,12640000,42304.516,208.055,42178,41288,44697,B,3,42304.516
16,12640000,39756.992,394.403,39753,37296,40372,B,4,39756.992
17,12640000,39547.034,390.755,39537,37214,42147,B,5,39547.034
18,12640000,39398.217,356.656,39308,37196,42236,B,6,39398.217
19,12640000,39336.131,382.124,39447,37064,41533,B,7,39336.131
20,12640000,39178.261,300.932,39307,37135,39634,B,8,39178.261
21,12640000,39093.101,314.538,39199,37114,39437,B,9,39093.101
22,12640000,38831.053,358.343,39014,36961,40170,B,10,38831.053
23,12640000,38842.934,376.546,38925,36458,39242,B,11,38842.934
24,12640000,38758.203,295.575,38847,36997,41330,B,12,38758.203
25,12640000,40176.585,358.378,40291,38930,46172,C,1,40176.585
26,12640000,40051.143,443.312,40153,38222,40530,C,2,40051.143
27,12640000,42185.612,296.160,42221,40166,42583,C,3,42185.612
28,12640000,39591.207,336.533,39590,37820,40117,C,4,39591.207
29,12640000,39370.146,353.860,39242,37681,42220,C,5,39370.146
30,12640000,39223.692,345.339,39073,38039,41088,C,6,39223.692
31,12640000,38967.039,394.154,39200,36738,39364,C,7,38967.039
32,12640000,38967.956,348.135,39051,37195,39871,C,8,38967.956
33,12640000,38975.997,388.364,39124,36964,39359,C,9,38975.997
34,12640000,38689.494,376.273,38831,36891,39466,C,10,38689.494
35,12640000,38556.706,399.459,38743,36789,38989,C,11,38556.706
36,12640000,38582.973,396.154,38777,36350,39918,C,12,38582.973
37,12640000,40179.890,165.523,40154,39531,40529,D,1,40179.890
38,12640000,40066.797,313.115,40304,38940,40907,D,2,40066.797
39,12640000,41827.830,319.711,41811,39970,42220,D,3,41827.830
40,12640000,39539.263,276.622,39558,38227,40705,D,4,39539.263
41,12640000,39330.604,304.058,39378,37484,40436,D,5,39330.604
42,12640000,39199.850,295.214,39385,37964,39764,D,6,39199.850
43,12640000,39274.936,348.395,39209,37697,39755,D,7,39274.936
44,12640000,39223.044,351.674,39227,37307,39807,D,8,39223.044
45,12640000,39147.972,333.528,39175,37803,39612,D,9,39147.972
46,12640000,39203.888,365.473,39318,37492,39675,D,10,39203.888
47,12640000,39054.737,355.803,39164,36634,39472,D,11,39054.737
48,12640000,39020.817,338.977,39120,36796,40216,D,12,39020.817
49,12640000,40235.222,200.636,40106,39656,40703,E,1,40235.222
50,12640000,40251.496,234.683,40091,39524,40732,E,2,40251.496
51,12640000,42009.184,321.544,42153,40187,42379,E,3,42009.184
52,12640000,39674.404,285.807,39852,38323,40474,E,4,39674.404
53,12640000,39446.147,292.728,39446,38073,39991,E,5,39446.147
54,12640000,39080.219,285.989,39112,37876,39777,E,6,39080.219
55,12640000,39384.082,368.763,39555,37575,40294,E,7,39384.082
56,12640000,39313.224,299.954,39436,37994,39815,E,8,39313.224
57,12640000,39157.211,355.274,39223,37012,39578,E,9,39157.211
58,12640000,39204.151,340.224,39332,37418,39638,E,10,39204.151
59,12640000,39324.239,177.060,39426,38618,39721,E,11,39324.239
60,12640000,39145.657,313.704,39241,37297,39506,E,12,39145.657
61,12640000,40370.500,169.675,40435,39679,40750,F,1,40370.500
