 ,Area,Mean,StdDev,Mode,Min,Max,Row,Column,Absorbance
1,12640000,43708.634,191.589,43742,42559,44042,A,1,43708.634
2,12640000,43668.368,179.106,43741,42413,44051,A,2,43668.368
3,12640000,43665.059,188.885,43745,42336,44027,A,3,43665.059
4,12640000,43351.079,201.843,43356,42005,43602,A,4,43351.079
5,12640000,43517.788,171.913,43599,42280,43917,A,5,43517.788
6,12640000,43704.263,195.388,43695,42292,44213,A,6,43704.263
7,12640000,43710.354,181.721,43734,42478,44015,A,7,43710.354
8,12640000,43518.502,172.549,43560,42245,43812,A,8,43518.502
9,12640000,43908.098,180.537,43921,42780,45158,A,9,43908.098
10,12640000,43922.988,237.296,44076,42266,44239,A,10,43922.988
11,12640000,43780.214,298.111,43713,41856,44180,A,11,43780.214
12,12640000,43727.620,273.434,43742,42149,44357,A,12,43727.620
13,12640000,43560.387,208.172,43526,42634,44041,B,1,43560.387
14,12640000,43346.898,229.375,43466,41752,43926,B,2,43346.898
15,12640000,43265.809,301.275,43267,41489,45032,B,3,43265.809
16,12640000,43360.373,223.633,43438,41690,43641,B,4,43360.373
17,12640000,43403.240,231.947,43486,41662,43700,B,5,43403.240
18,12640000,43301.184,358.638,43162,41328,44086,B,6,43301.184
19,12640000,43661.261,232.734,43559,42151,44090,B,7,43661.261
20,12640000,43246.440,268.870,43132,41541,43669,B,8,43246.440
21,12640000,43533.694,347.976,43619,41540,44270,B,9,43533.694
22,12640000,43606.281,345.895,43647,41460,44045,B,10,43606.281
23,12640000,43581.674,288.390,43620,41693,44043,B,11,43581.674
24,12640000,43598.862,226.085,43700,41805,44102,B,12,43598.862
25,12640000,43495.505,248.415,43606,42769,44026,C,1,43495.505
26,12640000,43220.419,328.713,42995,41844,44005,C,2,43220.419
27,12640000,43215.528,353.447,43303,41525,43877,C,3,43215.528
28,12640000,43121.644,389.840,43430,41074,43698,C,4,43121.644
29,12640000,43223.995,362.324,43462,41045,43952,C,5,43223.995
